id,phone_id,online,online_dummy,parent_yn,parent_dummy,gender_own,female,age_own,minage_partner,maxage_partner,height_own,minheight_partner,maxheight_partner,appearance_own,apperance_partner,appearance_own_level,apperance_partner_level,goodlooking_own,goodlooking_partner,status_own,status_own_levels,educ_own,educ_own_levels,min_educ_partner,min_educ_partner_levels
89,,online,1,,0,male,0,21,21,31,175.26,,,average,any,2,0,,,single,1,high school,1,any,0
90,,online,1,,0,male,0,41,32,44,177.8,,,average,any,2,0,,,divorced,2,vocational college,2,any,0
91,,online,1,,0,male,0,48,27,44,175.26,149.86,170.18,attractive,"attractive, average",3,2,,,divorced,2,bachelors degree,3,any,0
92,,online,1,,0,male,0,31,20,35,170.18,160.02,170.18,attractive,"very attractive, attractive",3,3,,,other,4,vocational college,2,vocational college,2
93,,online,1,,0,male,0,29,22,37,180.34,,,average,below average,2,1,,,single,1,bachelors degree,3,any,0
94,,online,1,,0,male,0,22,18,22,165.1,,170.18,below average,any,1,0,,,single,1,bachelors degree,3,bachelors degree,3
95,,online,1,,0,male,0,20,18,25,165.1,,,below average,any,1,0,,,single,1,bachelors degree,3,any,0
96,,online,1,,0,male,0,23,18,28,175.26,,,average,any,2,0,,,single,1,bachelors degree,3,any,0
97,,online,1,,0,male,0,19,18,25,170.18,149.86,185.42,below average,very attractive,1,3,,,single,1,high school,1,high school,1
98,,online,1,,0,male,0,43,24,41,165.1,,,average,any,2,0,,,divorced,2,bachelors degree,3,any,0
99,,online,1,,0,male,0,35,21,37,170.18,,,average,any,2,0,,,other,4,bachelors degree,3,any,0
100,,online,1,,0,male,0,35,24,34,170.18,,,below average,any,1,0,,,single,1,high school,1,any,0
101,,online,1,,0,male,0,50,32,50,177.8,,,attractive,any,3,0,,,separated,2,bachelors degree,3,any,0
102,,online,1,,0,male,0,34,21,30,185.42,160.02,185.42,below average,any,1,0,,,single,1,bachelors degree,3,high school,1
103,,online,1,,0,male,0,39,22,39,177.8,,,below average,any,1,0,,,widowed,3,bachelors degree,3,any,0
104,,online,1,,0,male,0,28,19,32,177.8,,,average,any,2,0,,,single,1,bachelors degree,3,any,0
105,,online,1,,0,male,0,47,51,52,170.18,160.02,165.1,attractive,below average,3,1,,,separated,2,bachelors degree,3,bachelors degree,3
106,,online,1,,0,male,0,24,18,24,175.26,149.86,170.18,average,any,2,0,,,single,1,vocational college,2,any,0
107,,online,1,,0,male,0,28,19,33,177.8,,,very attractive,any,4,0,,,single,1,phd or doctorate,5,bachelors degree,3
108,,online,1,,0,male,0,28,18,28,175.26,160.02,170.18,attractive,"average, below average",3,2,,,single,1,bachelors degree,3,any,0
109,,online,1,,0,male,0,24,18,24,172.72,,,attractive,any,3,0,,,single,1,bachelors degree,3,any,0
110,,online,1,,0,male,0,30,19,33,175.26,160.02,165.1,very attractive,very attractive,4,3,,,single,1,phd or doctorate,5,bachelors degree,3
111,,online,1,,0,male,0,29,19,33,172.72,165.1,180.34,below average,any,1,0,,,single,1,bachelors degree,3,bachelors degree,3
112,,online,1,,0,male,0,30,18,23,177.8,165.1,170.18,average,any,2,0,,,single,1,bachelors degree,3,any,0
113,,online,1,,0,male,0,26,19,26,175.26,165.1,175.26,below average,"average, below average",1,2,,,single,1,middle school / junior high,1,middle school / junior high,1
114,,online,1,,0,male,0,37,21,36,170.18,,,average,any,2,0,,,other,4,bachelors degree,3,any,0
115,,online,1,,0,male,0,44,35,50,172.72,,,below average,any,1,0,,,other,4,bachelors degree,3,any,0
